NONCODE-ID	RNA-Length	UNIPROT-ID	Protein-Lenght	Organisms
n333358	648	Q01844	217	Homo sapiens
n333358	648	Q13148	1086	Homo sapiens
n333358	648	Q15717	789	Homo sapiens
n333358	648	Q49AS9	163	Homo sapiens
n333358	648	Q86X94	1540	Homo sapiens
n333410	444	P26599	471	Homo sapiens
n333422	334	P31483	268	Homo sapiens
n333422	334	Q15717	789	Homo sapiens
n333428	815	O00425	171	Homo sapiens
n333428	815	P31483	268	Homo sapiens
n333428	815	P35637	339	Homo sapiens
n333428	815	Q01844	217	Homo sapiens
n333428	815	Q13148	1086	Homo sapiens
n333428	815	Q15717	789	Homo sapiens
n333428	815	Q49AS9	163	Homo sapiens
n333428	815	Q86X94	1540	Homo sapiens
n333428	815	Q8NDV7	1227	Homo sapiens
n333428	815	Q96PU8	287	Homo sapiens
n333428	815	Q9H9G7	390	Homo sapiens
n333428	815	Q9HCJ0	999	Homo sapiens
n333428	815	Q9HCK5	1686	Homo sapiens
n333428	815	Q9NZI8	213	Homo sapiens
n333428	815	Q9UKV8	478	Homo sapiens
n333428	815	Q9UL18	854	Homo sapiens
n333428	815	Q9UPQ9	853	Homo sapiens
n333428	815	Q9Y6M1	135	Homo sapiens
n333481	507	Q15717	789	Homo sapiens
n333481	507	Q9UKV8	478	Homo sapiens
n333490	629	O00425	171	Homo sapiens
n333490	629	P35637	339	Homo sapiens
n333490	629	Q15717	789	Homo sapiens
n333490	629	Q86X94	1540	Homo sapiens
n333490	629	Q8NDV7	1227	Homo sapiens
n333490	629	Q9HCJ0	999	Homo sapiens
n333490	629	Q9NZI8	213	Homo sapiens
n333490	629	Q9UPQ9	853	Homo sapiens
n333490	629	Q9Y6M1	135	Homo sapiens
n333503	226	Q13148	1086	Homo sapiens
n333507	369	Q49AS9	163	Homo sapiens
n333527	214	Q15717	789	Homo sapiens
n333527	214	Q9NZI8	213	Homo sapiens
n333527	214	Q9UKV8	478	Homo sapiens
n333534	226	B7ZL34	285	Homo sapiens
n333550	409	Q15717	789	Homo sapiens
n333550	409	Q49AS9	163	Homo sapiens
n333750	235	P35637	339	Homo sapiens
n333837	287	O00425	171	Homo sapiens
n333837	287	P35637	339	Homo sapiens
n334052	336	B7ZL34	285	Homo sapiens
n334052	336	O00425	171	Homo sapiens
n334052	336	P35637	339	Homo sapiens
n334052	336	Q01844	217	Homo sapiens
n334052	336	Q13148	1086	Homo sapiens
n334052	336	Q15717	789	Homo sapiens
n334052	336	Q49AS9	163	Homo sapiens
n334052	336	Q86X94	1540	Homo sapiens
n334052	336	Q8NDV7	1227	Homo sapiens
n334052	336	Q96PU8	287	Homo sapiens
n334052	336	Q9H9G7	390	Homo sapiens
n334052	336	Q9HCJ0	999	Homo sapiens
n334052	336	Q9HCK5	1686	Homo sapiens
n334052	336	Q9NZI8	213	Homo sapiens
n334052	336	Q9UKV8	478	Homo sapiens
n334052	336	Q9UL18	854	Homo sapiens
n334052	336	Q9UPQ9	853	Homo sapiens
n334052	336	Q9Y6M1	135	Homo sapiens
n334403	290	P31483	268	Homo sapiens
n334403	290	Q49AS9	163	Homo sapiens
n334504	219	P31483	268	Homo sapiens
n334613	263	P26599	471	Homo sapiens
n334616	246	O43251	517	Homo sapiens
n334773	678	Q15717	789	Homo sapiens
n334773	678	Q49AS9	163	Homo sapiens
n334777	495	P26599	471	Homo sapiens
n334786	216	Q15717	789	Homo sapiens
n335100	443	Q13148	1086	Homo sapiens
n335106	271	P35637	339	Homo sapiens
n335106	271	Q15717	789	Homo sapiens
n335135	218	Q13148	1086	Homo sapiens
n335179	403	P26599	471	Homo sapiens
n335486	239	Q15717	789	Homo sapiens
n335521	1180	P35637	339	Homo sapiens
n335521	1180	Q15717	789	Homo sapiens
n335521	1180	Q49AS9	163	Homo sapiens
n335526	515	Q07955	875	Homo sapiens
n335530	394	Q07955	875	Homo sapiens
n335544	617	Q07955	875	Homo sapiens
n335544	617	Q15717	789	Homo sapiens
n335544	617	Q9UKV8	478	Homo sapiens
n335584	624	O00425	171	Homo sapiens
n335584	624	P26599	471	Homo sapiens
n335584	624	Q07955	875	Homo sapiens
n335584	624	Q15717	789	Homo sapiens
n335584	624	Q9NZI8	213	Homo sapiens
n335584	624	Q9Y6M1	135	Homo sapiens
n335591	634	Q07955	875	Homo sapiens
n335591	634	Q9Y6M1	135	Homo sapiens
n335629	688	Q15717	789	Homo sapiens
n335656	421	P31483	268	Homo sapiens
n335656	421	Q49AS9	163	Homo sapiens
n335656	421	Q9HCE1	856	Homo sapiens
n335682	490	Q15717	789	Homo sapiens
n335713	547	O00425	171	Homo sapiens
n335713	547	P35637	339	Homo sapiens
n335713	547	Q01844	217	Homo sapiens
n335713	547	Q15717	789	Homo sapiens
n335713	547	Q86X94	1540	Homo sapiens
n335713	547	Q9H9G7	390	Homo sapiens
n335713	547	Q9HCK5	1686	Homo sapiens
n335713	547	Q9NZI8	213	Homo sapiens
n335713	547	Q9UKV8	478	Homo sapiens
n335713	547	Q9UL18	854	Homo sapiens
n335713	547	Q9Y6M1	135	Homo sapiens
n336291	307	P26599	471	Homo sapiens
n336291	307	Q13148	1086	Homo sapiens
n336291	307	Q15717	789	Homo sapiens
n336293	364	O00425	171	Homo sapiens
n336293	364	P35637	339	Homo sapiens
n336293	364	Q01844	217	Homo sapiens
n336293	364	Q15717	789	Homo sapiens
n336293	364	Q8NDV7	1227	Homo sapiens
n336293	364	Q96PU8	287	Homo sapiens
n336293	364	Q9H9G7	390	Homo sapiens
n336293	364	Q9HCJ0	999	Homo sapiens
n336293	364	Q9HCK5	1686	Homo sapiens
n336293	364	Q9NZI8	213	Homo sapiens
n336293	364	Q9UKV8	478	Homo sapiens
n336293	364	Q9UL18	854	Homo sapiens
n336293	364	Q9UPQ9	853	Homo sapiens
n336293	364	Q9Y6M1	135	Homo sapiens
n336296	258	P35637	339	Homo sapiens
n336296	258	Q01844	217	Homo sapiens
n336296	258	Q13148	1086	Homo sapiens
n336296	258	Q15717	789	Homo sapiens
n336296	258	Q86X94	1540	Homo sapiens
n336296	258	Q8NDV7	1227	Homo sapiens
n336296	258	Q96PU8	287	Homo sapiens
n336296	258	Q9H9G7	390	Homo sapiens
n336296	258	Q9HCJ0	999	Homo sapiens
n336296	258	Q9HCK5	1686	Homo sapiens
n336296	258	Q9UKV8	478	Homo sapiens
n336296	258	Q9UL18	854	Homo sapiens
n336296	258	Q9UPQ9	853	Homo sapiens
n336894	218	Q13148	1086	Homo sapiens
n336934	201	B7ZL34	285	Homo sapiens
n336934	201	O00425	171	Homo sapiens
n336934	201	P31483	268	Homo sapiens
n336934	201	P35637	339	Homo sapiens
n336934	201	Q01844	217	Homo sapiens
n336934	201	Q13148	1086	Homo sapiens
n336934	201	Q15717	789	Homo sapiens
n336934	201	Q49AS9	163	Homo sapiens
n336934	201	Q86X94	1540	Homo sapiens
n336934	201	Q8NDV7	1227	Homo sapiens
n336934	201	Q96PU8	287	Homo sapiens
n336934	201	Q9H9G7	390	Homo sapiens
n336934	201	Q9HCJ0	999	Homo sapiens
n336934	201	Q9HCK5	1686	Homo sapiens
n336934	201	Q9UKV8	478	Homo sapiens
n336934	201	Q9UL18	854	Homo sapiens
n336934	201	Q9UPQ9	853	Homo sapiens
n336934	201	Q9Y6M1	135	Homo sapiens
n336975	285	Q07955	875	Homo sapiens
n336975	285	Q15717	789	Homo sapiens
n336975	285	Q49AS9	163	Homo sapiens
n336993	416	Q15717	789	Homo sapiens
n337306	764	Q13148	1086	Homo sapiens
n337629	1893	Q13148	1086	Homo sapiens
n337644	921	O00425	171	Homo sapiens
n337644	921	Q13148	1086	Homo sapiens
n337649	1953	Q49AS9	163	Homo sapiens
n337667	3183	P26599	471	Homo sapiens
n337667	3183	Q13148	1086	Homo sapiens
n337667	3183	Q15717	789	Homo sapiens
n337667	3183	Q49AS9	163	Homo sapiens
n337667	3183	Q9Y6M1	135	Homo sapiens
n337668	3142	P26599	471	Homo sapiens
n337668	3142	Q13148	1086	Homo sapiens
n337669	2418	Q13148	1086	Homo sapiens
n337671	1628	P26599	471	Homo sapiens
n337671	1628	Q15717	789	Homo sapiens
n337681	1354	Q15717	789	Homo sapiens
n337683	3101	Q13148	1086	Homo sapiens
n337687	1922	O00425	171	Homo sapiens
n337687	1922	Q15717	789	Homo sapiens
n337687	1922	Q9Y6M1	135	Homo sapiens
n337689	1667	Q49AS9	163	Homo sapiens
n337691	2713	P26599	471	Homo sapiens
n337698	1340	P35637	339	Homo sapiens
n337699	2139	O00425	171	Homo sapiens
n337699	2139	Q15717	789	Homo sapiens
n337706	2442	Q15717	789	Homo sapiens
n337708	1613	Q13148	1086	Homo sapiens
n337711	1017	O00425	171	Homo sapiens
n337711	1017	P35637	339	Homo sapiens
n337711	1017	Q15717	789	Homo sapiens
n337711	1017	Q96PU8	287	Homo sapiens
n337711	1017	Q9HCE1	856	Homo sapiens
n337711	1017	Q9NZI8	213	Homo sapiens
n337711	1017	Q9Y6M1	135	Homo sapiens
n337731	1865	P35637	339	Homo sapiens
n337731	1865	Q15717	789	Homo sapiens
n337733	2781	O00425	171	Homo sapiens
n337733	2781	P26599	471	Homo sapiens
n337733	2781	Q15717	789	Homo sapiens
n337733	2781	Q9NZI8	213	Homo sapiens
n337733	2781	Q9Y6M1	135	Homo sapiens
n337740	3319	Q15717	789	Homo sapiens
n337746	1899	B7ZL34	285	Homo sapiens
n337746	1899	O00425	171	Homo sapiens
n337746	1899	P35637	339	Homo sapiens
n337750	2270	O00425	171	Homo sapiens
n337750	2270	P35637	339	Homo sapiens
n337754	2397	Q13148	1086	Homo sapiens
n337756	2659	B7ZL34	285	Homo sapiens
n337756	2659	O00425	171	Homo sapiens
n337756	2659	P31483	268	Homo sapiens
n337756	2659	P35637	339	Homo sapiens
n337756	2659	Q01844	217	Homo sapiens
n337756	2659	Q07955	875	Homo sapiens
n337756	2659	Q13148	1086	Homo sapiens
n337756	2659	Q15717	789	Homo sapiens
n337756	2659	Q49AS9	163	Homo sapiens
n337756	2659	Q86X94	1540	Homo sapiens
n337756	2659	Q8NDV7	1227	Homo sapiens
n337756	2659	Q9H9G7	390	Homo sapiens
n337756	2659	Q9HCE1	856	Homo sapiens
n337756	2659	Q9HCJ0	999	Homo sapiens
n337756	2659	Q9HCK5	1686	Homo sapiens
n337756	2659	Q9NZI8	213	Homo sapiens
n337756	2659	Q9UKV8	478	Homo sapiens
n337756	2659	Q9UL18	854	Homo sapiens
n337756	2659	Q9UPQ9	853	Homo sapiens
n337756	2659	Q9Y6M1	135	Homo sapiens
n337757	1309	O00425	171	Homo sapiens
n337757	1309	P26599	471	Homo sapiens
n337757	1309	P31483	268	Homo sapiens
n337757	1309	P35637	339	Homo sapiens
n337757	1309	Q07955	875	Homo sapiens
n337757	1309	Q15717	789	Homo sapiens
n337757	1309	Q49AS9	163	Homo sapiens
n337757	1309	Q9Y6M1	135	Homo sapiens
n337758	3148	P26599	471	Homo sapiens
n337758	3148	P31483	268	Homo sapiens
n337758	3148	P35637	339	Homo sapiens
n337758	3148	Q01844	217	Homo sapiens
n337758	3148	Q13148	1086	Homo sapiens
n337758	3148	Q15717	789	Homo sapiens
n337758	3148	Q49AS9	163	Homo sapiens
n337758	3148	Q86X94	1540	Homo sapiens
n337759	717	P31483	268	Homo sapiens
n337759	717	Q15717	789	Homo sapiens
n337759	717	Q49AS9	163	Homo sapiens
n337759	717	Q86X94	1540	Homo sapiens
n337768	3761	B7ZL34	285	Homo sapiens
n337768	3761	O00425	171	Homo sapiens
n337768	3761	P26599	471	Homo sapiens
n337768	3761	P35637	339	Homo sapiens
n337768	3761	Q01844	217	Homo sapiens
n337768	3761	Q15717	789	Homo sapiens
n337768	3761	Q9H9G7	390	Homo sapiens
n337768	3761	Q9HCE1	856	Homo sapiens
n337768	3761	Q9HCK5	1686	Homo sapiens
n337768	3761	Q9NZI8	213	Homo sapiens
n337768	3761	Q9UKV8	478	Homo sapiens
n337768	3761	Q9UL18	854	Homo sapiens
n337768	3761	Q9Y6M1	135	Homo sapiens
n337770	1725	B7ZL34	285	Homo sapiens
n337808	2084	Q15717	789	Homo sapiens
n337809	646	Q9H9G7	390	Homo sapiens
n337809	646	Q9HCK5	1686	Homo sapiens
n337809	646	Q9UKV8	478	Homo sapiens
n337809	646	Q9UL18	854	Homo sapiens
n337815	2048	P26599	471	Homo sapiens
n337815	2048	Q15717	789	Homo sapiens
n337829	2274	Q13148	1086	Homo sapiens
n337835	1936	Q15717	789	Homo sapiens
n337840	1577	P35637	339	Homo sapiens
n337841	2491	Q13148	1086	Homo sapiens
n337859	1209	Q15717	789	Homo sapiens
n337863	3783	O00425	171	Homo sapiens
n337863	3783	Q15717	789	Homo sapiens
n337863	3783	Q9H9G7	390	Homo sapiens
n337863	3783	Q9HCE1	856	Homo sapiens
n337863	3783	Q9HCK5	1686	Homo sapiens
n337863	3783	Q9NZI8	213	Homo sapiens
n337863	3783	Q9UKV8	478	Homo sapiens
n337863	3783	Q9UL18	854	Homo sapiens
n337863	3783	Q9Y6M1	135	Homo sapiens
n337864	1171	P35637	339	Homo sapiens
n337873	2116	O00425	171	Homo sapiens
n337873	2116	Q13148	1086	Homo sapiens
n337874	3365	Q15717	789	Homo sapiens
n337886	1540	P35637	339	Homo sapiens
n337886	1540	Q15717	789	Homo sapiens
n337886	1540	Q86X94	1540	Homo sapiens
n337895	1980	Q9NZI8	213	Homo sapiens
n337902	2394	O00425	171	Homo sapiens
n337902	2394	P35637	339	Homo sapiens
n337902	2394	Q01844	217	Homo sapiens
n337902	2394	Q07955	875	Homo sapiens
n337902	2394	Q86X94	1540	Homo sapiens
n337902	2394	Q9HCE1	856	Homo sapiens
n337902	2394	Q9NZI8	213	Homo sapiens
n337902	2394	Q9Y6M1	135	Homo sapiens
n337907	1410	Q15717	789	Homo sapiens
n337908	1265	O00425	171	Homo sapiens
n337908	1265	Q01844	217	Homo sapiens
n337908	1265	Q15717	789	Homo sapiens
n337908	1265	Q9NZI8	213	Homo sapiens
n337908	1265	Q9Y6M1	135	Homo sapiens
n337911	2233	Q49AS9	163	Homo sapiens
n337914	2527	O00425	171	Homo sapiens
n337914	2527	Q15717	789	Homo sapiens
n337914	2527	Q9NZI8	213	Homo sapiens
n337914	2527	Q9UKV8	478	Homo sapiens
n337914	2527	Q9Y6M1	135	Homo sapiens
n337921	2275	O00425	171	Homo sapiens
n337921	2275	Q15717	789	Homo sapiens
n337921	2275	Q8NDV7	1227	Homo sapiens
n337921	2275	Q9HCJ0	999	Homo sapiens
n337921	2275	Q9NZI8	213	Homo sapiens
n337921	2275	Q9UPQ9	853	Homo sapiens
n337921	2275	Q9Y6M1	135	Homo sapiens
n337928	1594	O00425	171	Homo sapiens
n337928	1594	Q15717	789	Homo sapiens
n337928	1594	Q9HCE1	856	Homo sapiens
n337928	1594	Q9NZI8	213	Homo sapiens
n337928	1594	Q9Y6M1	135	Homo sapiens
n337930	3020	P26599	471	Homo sapiens
n337930	3020	P31483	268	Homo sapiens
n337930	3020	Q01844	217	Homo sapiens
n337930	3020	Q15717	789	Homo sapiens
n337930	3020	Q9NZI8	213	Homo sapiens
n337930	3020	Q9Y6M1	135	Homo sapiens
n337939	1109	Q49AS9	163	Homo sapiens
n337939	1109	Q86X94	1540	Homo sapiens
n337941	3046	Q13148	1086	Homo sapiens
n337950	1338	B7ZL34	285	Homo sapiens
n337950	1338	O00425	171	Homo sapiens
n337950	1338	Q9HCE1	856	Homo sapiens
n337950	1338	Q9Y6M1	135	Homo sapiens
n337957	293	P35637	339	Homo sapiens
n337964	1941	Q86X94	1540	Homo sapiens
n337966	911	Q15717	789	Homo sapiens
n337970	2070	Q15717	789	Homo sapiens
n337977	3834	P26599	471	Homo sapiens
n337986	1350	P31483	268	Homo sapiens
n337986	1350	Q15717	789	Homo sapiens
n337988	2155	O00425	171	Homo sapiens
n337988	2155	P35637	339	Homo sapiens
n337988	2155	Q01844	217	Homo sapiens
n337988	2155	Q15717	789	Homo sapiens
n337988	2155	Q49AS9	163	Homo sapiens
n337988	2155	Q9NZI8	213	Homo sapiens
n337988	2155	Q9Y6M1	135	Homo sapiens
n337990	1280	Q15717	789	Homo sapiens
n337997	2029	Q01844	217	Homo sapiens
n337997	2029	Q07955	875	Homo sapiens
n337998	2185	O00425	171	Homo sapiens
n337998	2185	Q49AS9	163	Homo sapiens
n338000	770	O00425	171	Homo sapiens
n338000	770	Q49AS9	163	Homo sapiens
n338006	2168	O00425	171	Homo sapiens
n338006	2168	Q15717	789	Homo sapiens
n338006	2168	Q49AS9	163	Homo sapiens
n338006	2168	Q9H9G7	390	Homo sapiens
n338006	2168	Q9HCK5	1686	Homo sapiens
n338006	2168	Q9UKV8	478	Homo sapiens
n338006	2168	Q9UL18	854	Homo sapiens
n338009	3045	Q13148	1086	Homo sapiens
n338021	1870	P35637	339	Homo sapiens
n338024	2447	O00425	171	Homo sapiens
n338024	2447	P35637	339	Homo sapiens
n338024	2447	Q15717	789	Homo sapiens
n338024	2447	Q9NZI8	213	Homo sapiens
n338027	1750	O00425	171	Homo sapiens
n338027	1750	Q15717	789	Homo sapiens
n338027	1750	Q9NZI8	213	Homo sapiens
n338027	1750	Q9Y6M1	135	Homo sapiens
n338028	2569	B7ZL34	285	Homo sapiens
n338028	2569	O00425	171	Homo sapiens
n338028	2569	P35637	339	Homo sapiens
n338028	2569	Q01844	217	Homo sapiens
n338028	2569	Q15717	789	Homo sapiens
n338028	2569	Q86X94	1540	Homo sapiens
n338028	2569	Q9NZI8	213	Homo sapiens
n338028	2569	Q9Y6M1	135	Homo sapiens
n338047	1198	Q07955	875	Homo sapiens
n338060	2786	O00425	171	Homo sapiens
n338060	2786	P31483	268	Homo sapiens
n338060	2786	Q15717	789	Homo sapiens
n338060	2786	Q9UKV8	478	Homo sapiens
n338060	2786	Q9Y6M1	135	Homo sapiens
n338084	2603	O00425	171	Homo sapiens
n338084	2603	Q9NZI8	213	Homo sapiens
n338084	2603	Q9Y6M1	135	Homo sapiens
n338087	3086	O00425	171	Homo sapiens
n338087	3086	P35637	339	Homo sapiens
n338087	3086	Q15717	789	Homo sapiens
n338087	3086	Q9NZI8	213	Homo sapiens
n338087	3086	Q9Y6M1	135	Homo sapiens
n338089	1786	P31483	268	Homo sapiens
n338089	1786	Q13148	1086	Homo sapiens
n338089	1786	Q15717	789	Homo sapiens
n338089	1786	Q49AS9	163	Homo sapiens
n338090	1859	P26599	471	Homo sapiens
n338092	2652	P26599	471	Homo sapiens
n338108	1287	Q07955	875	Homo sapiens
n338108	1287	Q9NZI8	213	Homo sapiens
n338110	1417	P35637	339	Homo sapiens
n338112	1830	Q13148	1086	Homo sapiens
n338112	1830	Q15717	789	Homo sapiens
n338114	1123	B7ZL34	285	Homo sapiens
n338114	1123	O00425	171	Homo sapiens
n338114	1123	P31483	268	Homo sapiens
n338114	1123	Q13148	1086	Homo sapiens
n338114	1123	Q15717	789	Homo sapiens
n338114	1123	Q49AS9	163	Homo sapiens
n338114	1123	Q8NDV7	1227	Homo sapiens
n338114	1123	Q9H9G7	390	Homo sapiens
n338114	1123	Q9HCJ0	999	Homo sapiens
n338114	1123	Q9HCK5	1686	Homo sapiens
n338114	1123	Q9NZI8	213	Homo sapiens
n338114	1123	Q9UKV8	478	Homo sapiens
n338114	1123	Q9UL18	854	Homo sapiens
n338114	1123	Q9UPQ9	853	Homo sapiens
n338114	1123	Q9Y6M1	135	Homo sapiens
n338116	1613	Q13148	1086	Homo sapiens
n338117	530	Q9Y6M1	135	Homo sapiens
n338128	1739	O00425	171	Homo sapiens
n338128	1739	Q15717	789	Homo sapiens
n338128	1739	Q9HCE1	856	Homo sapiens
n338128	1739	Q9NZI8	213	Homo sapiens
n338128	1739	Q9Y6M1	135	Homo sapiens
n338129	1711	O00425	171	Homo sapiens
n338129	1711	Q9H9G7	390	Homo sapiens
n338129	1711	Q9HCK5	1686	Homo sapiens
n338129	1711	Q9UKV8	478	Homo sapiens
n338129	1711	Q9UL18	854	Homo sapiens
n338139	2023	Q15717	789	Homo sapiens
n338139	2023	Q9Y6M1	135	Homo sapiens
n338142	1446	O00425	171	Homo sapiens
n338145	3565	Q15717	789	Homo sapiens
n338146	1271	O00425	171	Homo sapiens
n338146	1271	P35637	339	Homo sapiens
n338146	1271	Q15717	789	Homo sapiens
n338147	2012	Q13148	1086	Homo sapiens
n338150	3496	Q8NDV7	1227	Homo sapiens
n338150	3496	Q9H9G7	390	Homo sapiens
n338150	3496	Q9HCJ0	999	Homo sapiens
n338150	3496	Q9HCK5	1686	Homo sapiens
n338150	3496	Q9UKV8	478	Homo sapiens
n338150	3496	Q9UL18	854	Homo sapiens
n338150	3496	Q9UPQ9	853	Homo sapiens
n338156	2109	Q15717	789	Homo sapiens
n338165	1459	O00425	171	Homo sapiens
n338165	1459	Q9NZI8	213	Homo sapiens
n338165	1459	Q9Y6M1	135	Homo sapiens
n338167	1267	Q07955	875	Homo sapiens
n338196	438	P26599	471	Homo sapiens
n338196	438	Q9UKV8	478	Homo sapiens
n338197	2413	O00425	171	Homo sapiens
n338197	2413	Q15717	789	Homo sapiens
n338197	2413	Q9H9G7	390	Homo sapiens
n338197	2413	Q9HCK5	1686	Homo sapiens
n338197	2413	Q9NZI8	213	Homo sapiens
n338197	2413	Q9UKV8	478	Homo sapiens
n338197	2413	Q9UL18	854	Homo sapiens
n338197	2413	Q9Y6M1	135	Homo sapiens
n338202	2385	Q15717	789	Homo sapiens
n338203	1492	Q15717	789	Homo sapiens
n338204	3173	O00425	171	Homo sapiens
n338204	3173	Q15717	789	Homo sapiens
n338204	3173	Q9NZI8	213	Homo sapiens
n338204	3173	Q9Y6M1	135	Homo sapiens
n338205	340	P26599	471	Homo sapiens
n338205	340	Q13148	1086	Homo sapiens
n338205	340	Q15717	789	Homo sapiens
n338205	340	Q86X94	1540	Homo sapiens
n338205	340	Q8NDV7	1227	Homo sapiens
n338205	340	Q9H9G7	390	Homo sapiens
n338205	340	Q9HCJ0	999	Homo sapiens
n338205	340	Q9HCK5	1686	Homo sapiens
n338205	340	Q9UKV8	478	Homo sapiens
n338205	340	Q9UL18	854	Homo sapiens
n338205	340	Q9UPQ9	853	Homo sapiens
n338207	1784	O00425	171	Homo sapiens
n338207	1784	P35637	339	Homo sapiens
n338207	1784	Q01844	217	Homo sapiens
n338207	1784	Q15717	789	Homo sapiens
n338207	1784	Q49AS9	163	Homo sapiens
n338207	1784	Q9NZI8	213	Homo sapiens
n338207	1784	Q9Y6M1	135	Homo sapiens
n338208	1549	Q9NZI8	213	Homo sapiens
n338217	1135	Q9NZI8	213	Homo sapiens
n338217	1135	Q9Y6M1	135	Homo sapiens
n338221	3243	Q13148	1086	Homo sapiens
n338222	1897	O00425	171	Homo sapiens
n338222	1897	Q9NZI8	213	Homo sapiens
n338223	944	O00425	171	Homo sapiens
n338223	944	P35637	339	Homo sapiens
n338223	944	Q01844	217	Homo sapiens
n338223	944	Q15717	789	Homo sapiens
n338223	944	Q86X94	1540	Homo sapiens
n338223	944	Q9H9G7	390	Homo sapiens
n338223	944	Q9HCK5	1686	Homo sapiens
n338223	944	Q9NZI8	213	Homo sapiens
n338223	944	Q9UKV8	478	Homo sapiens
n338223	944	Q9UL18	854	Homo sapiens
n338224	1551	O00425	171	Homo sapiens
n338229	1785	Q13148	1086	Homo sapiens
n338231	2992	O00425	171	Homo sapiens
n338231	2992	Q15717	789	Homo sapiens
n338245	2184	P35637	339	Homo sapiens
n338249	3588	P31483	268	Homo sapiens
n338251	2134	Q49AS9	163	Homo sapiens
n338264	1603	O00425	171	Homo sapiens
n338264	1603	Q9NZI8	213	Homo sapiens
n338264	1603	Q9Y6M1	135	Homo sapiens
n338265	1709	B7ZL34	285	Homo sapiens
n338265	1709	Q15717	789	Homo sapiens
n338265	1709	Q86X94	1540	Homo sapiens
n338265	1709	Q9UKV8	478	Homo sapiens
n338266	2404	Q15717	789	Homo sapiens
n338270	1610	P35637	339	Homo sapiens
n338288	3257	O00425	171	Homo sapiens
n338288	3257	Q9NZI8	213	Homo sapiens
n338288	3257	Q9Y6M1	135	Homo sapiens
n338297	1853	O00425	171	Homo sapiens
n338297	1853	Q01844	217	Homo sapiens
n338297	1853	Q15717	789	Homo sapiens
n338297	1853	Q9Y6M1	135	Homo sapiens
n338298	1130	P35637	339	Homo sapiens
n338298	1130	Q15717	789	Homo sapiens
n338304	2885	Q13148	1086	Homo sapiens
n338306	2297	O00425	171	Homo sapiens
n338306	2297	Q9NZI8	213	Homo sapiens
n338306	2297	Q9Y6M1	135	Homo sapiens
n338322	2505	Q13148	1086	Homo sapiens
n338325	3270	O00425	171	Homo sapiens
n338325	3270	Q15717	789	Homo sapiens
n338325	3270	Q9Y6M1	135	Homo sapiens
n338336	1922	Q15717	789	Homo sapiens
n338358	2671	Q15717	789	Homo sapiens
n338365	703	O00425	171	Homo sapiens
n338379	2410	Q13148	1086	Homo sapiens
n338380	887	O00425	171	Homo sapiens
n338380	887	Q9Y6M1	135	Homo sapiens
n338390	2439	Q01844	217	Homo sapiens
n338390	2439	Q15717	789	Homo sapiens
n338390	2439	Q9Y6M1	135	Homo sapiens
n338394	1004	Q07955	875	Homo sapiens
n338398	1908	B7ZL34	285	Homo sapiens
n338398	1908	O00425	171	Homo sapiens
n338398	1908	Q9NZI8	213	Homo sapiens
n338398	1908	Q9Y6M1	135	Homo sapiens
n338401	2655	Q13148	1086	Homo sapiens
n338404	1791	O00425	171	Homo sapiens
n338404	1791	P35637	339	Homo sapiens
n338404	1791	Q15717	789	Homo sapiens
n338404	1791	Q49AS9	163	Homo sapiens
n338404	1791	Q9H9G7	390	Homo sapiens
n338404	1791	Q9HCK5	1686	Homo sapiens
n338404	1791	Q9NZI8	213	Homo sapiens
n338404	1791	Q9UKV8	478	Homo sapiens
n338404	1791	Q9UL18	854	Homo sapiens
n338404	1791	Q9Y6M1	135	Homo sapiens
n338411	619	Q15717	789	Homo sapiens
n338414	1356	Q15717	789	Homo sapiens
n338415	3931	Q13148	1086	Homo sapiens
n338436	3202	P26599	471	Homo sapiens
n338437	2562	Q13148	1086	Homo sapiens
n338443	1086	Q9UKV8	478	Homo sapiens
n338444	2353	Q13148	1086	Homo sapiens
n338446	1182	B7ZL34	285	Homo sapiens
n338446	1182	O00425	171	Homo sapiens
n338446	1182	P31483	268	Homo sapiens
n338446	1182	Q15717	789	Homo sapiens
n338446	1182	Q49AS9	163	Homo sapiens
n338446	1182	Q9H9G7	390	Homo sapiens
n338446	1182	Q9HCE1	856	Homo sapiens
n338446	1182	Q9HCK5	1686	Homo sapiens
n338446	1182	Q9NZI8	213	Homo sapiens
n338446	1182	Q9UKV8	478	Homo sapiens
n338446	1182	Q9UL18	854	Homo sapiens
n338446	1182	Q9Y6M1	135	Homo sapiens
n338461	783	Q07955	875	Homo sapiens
n338471	3738	P35637	339	Homo sapiens
n338471	3738	Q15717	789	Homo sapiens
n338479	2357	O00425	171	Homo sapiens
n338479	2357	P35637	339	Homo sapiens
n338479	2357	Q01844	217	Homo sapiens
n338479	2357	Q96PU8	287	Homo sapiens
n338482	1570	Q15717	789	Homo sapiens
n338491	1902	Q13148	1086	Homo sapiens
n338494	1336	Q13148	1086	Homo sapiens
n338495	1802	Q13148	1086	Homo sapiens
n338500	968	O00425	171	Homo sapiens
n338500	968	Q15717	789	Homo sapiens
n338500	968	Q9UKV8	478	Homo sapiens
n338503	2560	P35637	339	Homo sapiens
n338509	2714	Q15717	789	Homo sapiens
n338510	3163	Q15717	789	Homo sapiens
n338512	709	O00425	171	Homo sapiens
n338512	709	Q15717	789	Homo sapiens
n338512	709	Q9NZI8	213	Homo sapiens
n338512	709	Q9UKV8	478	Homo sapiens
